step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
14,corner.diag,0,1,15,15,1,1
15,corner.diag,1,2,15,15,-1,-1
30,corner.diag,2,3,0,0,-1,-1
31,corner.diag,3,4,0,0,1,1
46,corner.diag,4,5,15,15,1,1
47,corner.diag,5,6,15,15,-1,-1
62,corner.diag,6,7,0,0,-1,-1
63,corner.diag,7,8,0,0,1,1
78,corner.diag,8,9,15,15,1,1
79,corner.diag,9,10,15,15,-1,-1
94,corner.diag,10,11,0,0,-1,-1
95,corner.diag,11,12,0,0,1,1
110,corner.diag,12,13,15,15,1,1
111,corner.diag,13,14,15,15,-1,-1
126,corner.diag,14,15,0,0,-1,-1
127,corner.diag,15,16,0,0,1,1
142,corner.diag,16,17,15,15,1,1
143,corner.diag,17,18,15,15,-1,-1
158,corner.diag,18,19,0,0,-1,-1
159,corner.diag,19,20,0,0,1,1
174,corner.diag,20,21,15,15,1,1
175,corner.diag,21,22,15,15,-1,-1
190,corner.diag,22,23,0,0,-1,-1
191,corner.diag,23,24,0,0,1,1
206,corner.diag,24,25,15,15,1,1
207,corner.diag,25,26,15,15,-1,-1
222,corner.diag,26,27,0,0,-1,-1
223,corner.diag,27,28,0,0,1,1
238,corner.diag,28,29,15,15,1,1
239,corner.diag,29,30,15,15,-1,-1
254,corner.diag,30,31,0,0,-1,-1
255,corner.diag,31,32,0,0,1,1
270,corner.diag,32,33,15,15,1,1
271,corner.diag,33,34,15,15,-1,-1
286,corner.diag,34,35,0,0,-1,-1
287,corner.diag,35,36,0,0,1,1
302,corner.diag,36,37,15,15,1,1
303,corner.diag,37,38,15,15,-1,-1
318,corner.diag,38,39,0,0,-1,-1
319,corner.diag,39,40,0,0,1,1
334,corner.diag,40,41,15,15,1,1
335,corner.diag,41,42,15,15,-1,-1
350,corner.diag,42,43,0,0,-1,-1
351,corner.diag,43,44,0,0,1,1
366,corner.diag,44,45,15,15,1,1
367,corner.diag,45,46,15,15,-1,-1
382,corner.diag,46,47,0,0,-1,-1
383,corner.diag,47,48,0,0,1,1
398,corner.diag,48,49,15,15,1,1
399,corner.diag,49,50,15,15,-1,-1
414,corner.diag,50,51,0,0,-1,-1
415,corner.diag,51,52,0,0,1,1
430,corner.diag,52,53,15,15,1,1
431,corner.diag,53,54,15,15,-1,-1
446,corner.diag,54,55,0,0,-1,-1
447,corner.diag,55,56,0,0,1,1
462,corner.diag,56,57,15,15,1,1
463,corner.diag,57,58,15,15,-1,-1
478,corner.diag,58,59,0,0,-1,-1
479,corner.diag,59,60,0,0,1,1
494,corner.diag,60,61,15,15,1,1
495,corner.diag,61,62,15,15,-1,-1
510,corner.diag,62,63,0,0,-1,-1
511,corner.diag,63,64,0,0,1,1
526,corner.diag,64,65,15,15,1,1
527,corner.diag,65,66,15,15,-1,-1
542,corner.diag,66,67,0,0,-1,-1
543,corner.diag,67,68,0,0,1,1
558,corner.diag,68,69,15,15,1,1
559,corner.diag,69,70,15,15,-1,-1
574,corner.diag,70,71,0,0,-1,-1
575,corner.diag,71,72,0,0,1,1
590,corner.diag,72,73,15,15,1,1
591,corner.diag,73,74,15,15,-1,-1
606,corner.diag,74,75,0,0,-1,-1
607,corner.diag,75,76,0,0,1,1
622,corner.diag,76,77,15,15,1,1
623,corner.diag,77,78,15,15,-1,-1
638,corner.diag,78,79,0,0,-1,-1
639,corner.diag,79,80,0,0,1,1
654,corner.diag,80,81,15,15,1,1
655,corner.diag,81,82,15,15,-1,-1
670,corner.diag,82,83,0,0,-1,-1
671,corner.diag,83,84,0,0,1,1
686,corner.diag,84,85,15,15,1,1
687,corner.diag,85,86,15,15,-1,-1
702,corner.diag,86,87,0,0,-1,-1
703,corner.diag,87,88,0,0,1,1
718,corner.diag,88,89,15,15,1,1
719,corner.diag,89,90,15,15,-1,-1
734,corner.diag,90,91,0,0,-1,-1
735,corner.diag,91,92,0,0,1,1
750,corner.diag,92,93,15,15,1,1
751,corner.diag,93,94,15,15,-1,-1
766,corner.diag,94,95,0,0,-1,-1
767,corner.diag,95,96,0,0,1,1
782,corner.diag,96,97,15,15,1,1
783,corner.diag,97,98,15,15,-1,-1
798,corner.diag,98,99,0,0,-1,-1
799,corner.diag,99,100,0,0,1,1
814,corner.diag,100,101,15,15,1,1
815,corner.diag,101,102,15,15,-1,-1
830,corner.diag,102,103,0,0,-1,-1
831,corner.diag,103,104,0,0,1,1
846,corner.diag,104,105,15,15,1,1
847,corner.diag,105,106,15,15,-1,-1
862,corner.diag,106,107,0,0,-1,-1
863,corner.diag,107,108,0,0,1,1
878,corner.diag,108,109,15,15,1,1
879,corner.diag,109,110,15,15,-1,-1
894,corner.diag,110,111,0,0,-1,-1
895,corner.diag,111,112,0,0,1,1
910,corner.diag,112,113,15,15,1,1
911,corner.diag,113,114,15,15,-1,-1
926,corner.diag,114,115,0,0,-1,-1
927,corner.diag,115,116,0,0,1,1
942,corner.diag,116,117,15,15,1,1
943,corner.diag,117,118,15,15,-1,-1
958,corner.diag,118,119,0,0,-1,-1
959,corner.diag,119,120,0,0,1,1
974,corner.diag,120,121,15,15,1,1
975,corner.diag,121,122,15,15,-1,-1
990,corner.diag,122,123,0,0,-1,-1
991,corner.diag,123,124,0,0,1,1
1006,corner.diag,124,125,15,15,1,1
1007,corner.diag,125,126,15,15,-1,-1
1022,corner.diag,126,127,0,0,-1,-1
1023,corner.diag,127,128,0,0,1,1
1038,corner.diag,128,129,15,15,1,1
1039,corner.diag,129,130,15,15,-1,-1
1054,corner.diag,130,131,0,0,-1,-1
1055,corner.diag,131,132,0,0,1,1
1070,corner.diag,132,133,15,15,1,1
1071,corner.diag,133,134,15,15,-1,-1
1086,corner.diag,134,135,0,0,-1,-1
1087,corner.diag,135,136,0,0,1,1
1102,corner.diag,136,137,15,15,1,1
1103,corner.diag,137,138,15,15,-1,-1
1118,corner.diag,138,139,0,0,-1,-1
1119,corner.diag,139,140,0,0,1,1
1134,corner.diag,140,141,15,15,1,1
1135,corner.diag,141,142,15,15,-1,-1
1150,corner.diag,142,143,0,0,-1,-1
1151,corner.diag,143,144,0,0,1,1
1166,corner.diag,144,145,15,15,1,1
1167,corner.diag,145,146,15,15,-1,-1
1182,corner.diag,146,147,0,0,-1,-1
1183,corner.diag,147,148,0,0,1,1
1198,corner.diag,148,149,15,15,1,1
1199,corner.diag,149,150,15,15,-1,-1
1214,corner.diag,150,151,0,0,-1,-1
1215,corner.diag,151,152,0,0,1,1
1230,corner.diag,152,153,15,15,1,1
1231,corner.diag,153,154,15,15,-1,-1
1246,corner.diag,154,155,0,0,-1,-1
1247,corner.diag,155,156,0,0,1,1
1262,corner.diag,156,157,15,15,1,1
1263,corner.diag,157,158,15,15,-1,-1
1278,corner.diag,158,159,0,0,-1,-1
1279,corner.diag,159,160,0,0,1,1
1294,corner.diag,160,161,15,15,1,1
1295,corner.diag,161,162,15,15,-1,-1
1310,corner.diag,162,163,0,0,-1,-1
1311,corner.diag,163,164,0,0,1,1
1326,corner.diag,164,165,15,15,1,1
1327,corner.diag,165,166,15,15,-1,-1
1342,corner.diag,166,167,0,0,-1,-1
1343,corner.diag,167,168,0,0,1,1
1358,corner.diag,168,169,15,15,1,1
1359,corner.diag,169,170,15,15,-1,-1
1374,corner.diag,170,171,0,0,-1,-1
1375,corner.diag,171,172,0,0,1,1
1390,corner.diag,172,173,15,15,1,1
1391,corner.diag,173,174,15,15,-1,-1
1406,corner.diag,174,175,0,0,-1,-1
1407,corner.diag,175,176,0,0,1,1
1422,corner.diag,176,177,15,15,1,1
1423,corner.diag,177,178,15,15,-1,-1
1438,corner.diag,178,179,0,0,-1,-1
1439,corner.diag,179,180,0,0,1,1
1454,corner.diag,180,181,15,15,1,1
1455,corner.diag,181,182,15,15,-1,-1
1470,corner.diag,182,183,0,0,-1,-1
1471,corner.diag,183,184,0,0,1,1
1486,corner.diag,184,185,15,15,1,1
1487,corner.diag,185,186,15,15,-1,-1
1502,corner.diag,186,187,0,0,-1,-1
1503,corner.diag,187,188,0,0,1,1
1518,corner.diag,188,189,15,15,1,1
1519,corner.diag,189,190,15,15,-1,-1
1534,corner.diag,190,191,0,0,-1,-1
1535,corner.diag,191,192,0,0,1,1
1550,corner.diag,192,193,15,15,1,1
1551,corner.diag,193,194,15,15,-1,-1
1566,corner.diag,194,195,0,0,-1,-1
1567,corner.diag,195,196,0,0,1,1
1582,corner.diag,196,197,15,15,1,1
1583,corner.diag,197,198,15,15,-1,-1
1598,corner.diag,198,199,0,0,-1,-1
1599,corner.diag,199,200,0,0,1,1
1614,corner.diag,200,201,15,15,1,1
1615,corner.diag,201,202,15,15,-1,-1
1630,corner.diag,202,203,0,0,-1,-1
1631,corner.diag,203,204,0,0,1,1
1646,corner.diag,204,205,15,15,1,1
