step,type,phase
17,1000003,7
24,137,8
40,1000003,56
60,137,57
80,1000003,399
87,137,400
103,1000003,2800
123,137,2801
143,1000003,19607
150,137,19608
166,1000003,137256
186,137,137257
206,1000003,960799
213,137,960800
229,1000003,725582
249,137,725583
250,137,725584
257,1000003,79073
278,1000003,553511
294,137,553512
301,1000003,874575
322,1000003,122007
327,1000003,854049
342,137,854050
347,137,854051
348,137,854052
355,1000003,978349
376,1000003,848425
392,137,848426
407,1000003,938967
408,1000003,572751
413,1000003,9245
428,137,9246
433,137,9247
434,137,9248
441,1000003,64736
462,1000003,453152
483,1000003,172055
504,1000003,204382
509,1000003,430671
510,1000003,14688
525,137,14689
546,137,14690
551,137,14691
552,137,14692
559,1000003,102844
580,1000003,719908
601,1000003,39341
622,1000003,275387
638,137,275388
645,1000003,927713
666,1000003,493973
682,137,493974
697,1000003,457809
698,1000003,204654
714,137,204655
715,137,204656
722,1000003,432589
743,1000003,28114
759,137,28115
760,137,28116
767,1000003,196812
788,1000003,377681
809,1000003,643761
825,137,643762
840,1000003,506322
841,1000003,544245
842,1000003,809706
858,137,809707
859,137,809708
866,1000003,667941
887,1000003,675575
903,137,675576
910,1000003,729020
931,1000003,103125
952,1000003,721875
968,137,721876
975,1000003,53117
996,1000003,371819
1012,137,371820
1019,1000003,602734
1040,1000003,219126
1041,1000003,533879
1042,1000003,737144
1047,1000003,159993
1067,137,159994
1082,1000003,119955
1083,1000003,839685
1088,1000003,877780
1095,137,877781
1116,137,877782
1121,137,877783
1122,137,877784
1129,1000003,144470
1150,1000003,11287
1151,1000003,79009
1156,1000003,553063
1163,137,553064
1179,1000003,871439
1199,137,871440
1206,1000003,100062
1227,1000003,700434
1228,1000003,903026
1229,1000003,321164
1230,1000003,248142
1251,1000003,736991
1252,1000003,158922
1257,1000003,112451
1258,1000003,787157
1273,137,787158
1278,137,787159
1279,137,787160
1286,1000003,510105
1307,1000003,570726
1323,137,570727
1324,137,570728
1331,1000003,995087
1352,1000003,965591
1357,1000003,759119
1372,137,759120
1388,1000003,313825
1408,137,313826
1423,1000003,196776
1424,1000003,377429
1445,1000003,641997
1461,137,641998
1476,1000003,493974
1477,1000003,457809
1478,1000003,204654
1494,137,204655
1495,137,204656
1502,1000003,432589
1523,1000003,28114
1539,137,28115
1540,137,28116
1547,1000003,196812
1568,1000003,377681
1589,1000003,643761
1605,137,643762
1620,1000003,506322
1621,1000003,544245
1622,1000003,809706
1638,137,809707
1639,137,809708
1646,1000003,667941
1667,1000003,675575
1683,137,675576
1690,1000003,729020
1711,1000003,103125
1732,1000003,721875
1748,137,721876
1755,1000003,53117
1776,1000003,371819
1792,137,371820
1799,1000003,602734
1820,1000003,219126
1821,1000003,533879
1822,1000003,737144
1827,1000003,159993
1847,137,159994
1862,1000003,119955
1863,1000003,839685
1868,1000003,877780
1875,137,877781
1896,137,877782
1901,137,877783
1902,137,877784
1909,1000003,144470
1930,1000003,11287
1931,1000003,79009
1936,1000003,553063
1943,137,553064
1959,1000003,871439
1979,137,871440
1986,1000003,100062
2007,1000003,700434
2008,1000003,903026
2009,1000003,321164
2010,1000003,248142
2031,1000003,736991
2032,1000003,158922
2037,1000003,112451
2038,1000003,787157
2053,137,787158
2058,137,787159
2059,137,787160
2066,1000003,510105
2087,1000003,570726
2103,137,570727
2104,137,570728
2111,1000003,995087
2132,1000003,965591
2137,1000003,759119
2152,137,759120
2168,1000003,313825
2188,137,313826
2203,1000003,196776
2204,1000003,377429
2225,1000003,641997
2241,137,641998
2256,1000003,493974
2257,1000003,457809
2258,1000003,204654
2274,137,204655
2275,137,204656
2282,1000003,432589
2303,1000003,28114
2319,137,28115
2320,137,28116
2327,1000003,196812
2348,1000003,377681
2369,1000003,643761
2385,137,643762
2400,1000003,506322
2401,1000003,544245
2402,1000003,809706
2418,137,809707
2419,137,809708
2426,1000003,667941
2447,1000003,675575
2463,137,675576
2470,1000003,729020
2491,1000003,103125
2512,1000003,721875
2528,137,721876
2535,1000003,53117
2556,1000003,371819
2572,137,371820
2579,1000003,602734
2600,1000003,219126
2601,1000003,533879
2602,1000003,737144
2607,1000003,159993
2627,137,159994
2642,1000003,119955
2643,1000003,839685
2648,1000003,877780
2655,137,877781
2676,137,877782
2681,137,877783
2682,137,877784
2689,1000003,144470
2710,1000003,11287
2711,1000003,79009
2716,1000003,553063
2723,137,553064
2739,1000003,871439
2759,137,871440
2766,1000003,100062
2787,1000003,700434
2788,1000003,903026
2789,1000003,321164
2790,1000003,248142
2811,1000003,736991
2812,1000003,158922
2817,1000003,112451
2818,1000003,787157
2833,137,787158
2838,137,787159
2839,137,787160
2846,1000003,510105
2867,1000003,570726
2883,137,570727
2884,137,570728
2891,1000003,995087
2912,1000003,965591
2917,1000003,759119
2932,137,759120
2948,1000003,313825
2968,137,313826
2983,1000003,196776
2984,1000003,377429
3005,1000003,641997
3021,137,641998
3036,1000003,493974
3037,1000003,457809
3038,1000003,204654
3054,137,204655
3055,137,204656
3062,1000003,432589
3083,1000003,28114
3099,137,28115
3100,137,28116
3107,1000003,196812
3128,1000003,377681
3149,1000003,643761
3165,137,643762
3180,1000003,506322
3181,1000003,544245
3182,1000003,809706
3198,137,809707
3199,137,809708
3206,1000003,667941
3227,1000003,675575
3243,137,675576
3250,1000003,729020
3271,1000003,103125
3292,1000003,721875
3308,137,721876
3315,1000003,53117
3336,1000003,371819
3352,137,371820
3359,1000003,602734
3380,1000003,219126
3381,1000003,533879
3382,1000003,737144
3387,1000003,159993
3407,137,159994
3422,1000003,119955
3423,1000003,839685
3428,1000003,877780
3435,137,877781
3456,137,877782
3461,137,877783
3462,137,877784
3469,1000003,144470
3490,1000003,11287
3491,1000003,79009
3496,1000003,553063
3503,137,553064
3519,1000003,871439
3539,137,871440
3546,1000003,100062
3567,1000003,700434
3568,1000003,903026
3569,1000003,321164
3570,1000003,248142
3591,1000003,736991
3592,1000003,158922
3597,1000003,112451
3598,1000003,787157
3613,137,787158
3618,137,787159
3619,137,787160
3626,1000003,510105
3647,1000003,570726
3663,137,570727
3664,137,570728
3671,1000003,995087
3692,1000003,965591
3697,1000003,759119
3712,137,759120
3728,1000003,313825
3748,137,313826
3763,1000003,196776
3764,1000003,377429
3785,1000003,641997
3801,137,641998
3816,1000003,493974
3817,1000003,457809
3818,1000003,204654
3834,137,204655
3835,137,204656
3842,1000003,432589
3863,1000003,28114
3879,137,28115
3880,137,28116
3887,1000003,196812
3908,1000003,377681
3929,1000003,643761
3945,137,643762
3960,1000003,506322
3961,1000003,544245
3962,1000003,809706
3978,137,809707
3979,137,809708
3986,1000003,667941
4007,1000003,675575
4023,137,675576
4030,1000003,729020
4051,1000003,103125
4072,1000003,721875
4088,137,721876
4095,1000003,53117
4116,1000003,371819
4132,137,371820
4139,1000003,602734
4160,1000003,219126
4161,1000003,533879
4162,1000003,737144
4167,1000003,159993
4187,137,159994
4202,1000003,119955
4203,1000003,839685
4208,1000003,877780
4215,137,877781
4236,137,877782
4241,137,877783
4242,137,877784
4249,1000003,144470
4270,1000003,11287
4271,1000003,79009
4276,1000003,553063
4283,137,553064
4299,1000003,871439
4319,137,871440
4326,1000003,100062
4347,1000003,700434
4348,1000003,903026
4349,1000003,321164
4350,1000003,248142
4371,1000003,736991
4372,1000003,158922
4377,1000003,112451
4378,1000003,787157
4393,137,787158
4398,137,787159
4399,137,787160
4406,1000003,510105
4427,1000003,570726
4443,137,570727
4444,137,570728
4451,1000003,995087
4472,1000003,965591
4477,1000003,759119
4492,137,759120
4508,1000003,313825
4528,137,313826
4543,1000003,196776
4544,1000003,377429
4565,1000003,641997
4581,137,641998
4596,1000003,493974
4597,1000003,457809
4598,1000003,204654
4614,137,204655
4615,137,204656
4622,1000003,432589
4643,1000003,28114
4659,137,28115
4660,137,28116
4667,1000003,196812
4688,1000003,377681
4709,1000003,643761
4725,137,643762
4740,1000003,506322
4741,1000003,544245
4742,1000003,809706
4758,137,809707
4759,137,809708
4766,1000003,667941
4787,1000003,675575
4803,137,675576
4810,1000003,729020
4831,1000003,103125
4852,1000003,721875
4868,137,721876
4875,1000003,53117
4896,1000003,371819
4912,137,371820
4919,1000003,602734
4940,1000003,219126
4941,1000003,533879
4942,1000003,737144
4947,1000003,159993
4967,137,159994
4982,1000003,119955
4983,1000003,839685
4988,1000003,877780
4995,137,877781
