step,eventType,phaseBefore,phaseAfter,x,y,vx,vy
1,corner.diag,0,1,0,0,3,2
13,corner.off,1,3,10,0,-3,2
25,corner.diag,3,4,0,0,3,2
37,corner.off,4,12,10,0,-3,2
49,corner.diag,12,13,0,0,3,2
61,corner.off,13,39,10,0,-3,2
73,corner.diag,39,40,0,0,3,2
85,corner.off,40,120,10,0,-3,2
97,corner.diag,120,121,0,0,3,2
109,corner.off,121,363,10,0,-3,2
121,corner.diag,363,364,0,0,3,2
133,corner.off,364,1092,10,0,-3,2
145,corner.diag,1092,1093,0,0,3,2
157,corner.off,1093,3279,10,0,-3,2
169,corner.diag,3279,3280,0,0,3,2
181,corner.off,3280,9840,10,0,-3,2
193,corner.diag,9840,9841,0,0,3,2
205,corner.off,9841,29523,10,0,-3,2
217,corner.diag,29523,29524,0,0,3,2
229,corner.off,29524,88572,10,0,-3,2
241,corner.diag,88572,88573,0,0,3,2
253,corner.off,88573,265719,10,0,-3,2
265,corner.diag,265719,265720,0,0,3,2
277,corner.off,265720,797160,10,0,-3,2
289,corner.diag,797160,797161,0,0,3,2
301,corner.off,797161,391477,10,0,-3,2
313,corner.diag,391477,391478,0,0,3,2
325,corner.off,391478,174431,10,0,-3,2
337,corner.diag,174431,174432,0,0,3,2
349,corner.off,174432,523296,10,0,-3,2
361,corner.diag,523296,523297,0,0,3,2
373,corner.off,523297,569888,10,0,-3,2
385,corner.diag,569888,569889,0,0,3,2
397,corner.off,569889,709664,10,0,-3,2
409,corner.diag,709664,709665,0,0,3,2
421,corner.off,709665,128989,10,0,-3,2
433,corner.diag,128989,128990,0,0,3,2
445,corner.off,128990,386970,10,0,-3,2
457,corner.diag,386970,386971,0,0,3,2
469,corner.off,386971,160910,10,0,-3,2
481,corner.diag,160910,160911,0,0,3,2
493,corner.off,160911,482733,10,0,-3,2
505,corner.diag,482733,482734,0,0,3,2
517,corner.off,482734,448199,10,0,-3,2
529,corner.diag,448199,448200,0,0,3,2
541,corner.off,448200,344597,10,0,-3,2
553,corner.diag,344597,344598,0,0,3,2
565,corner.off,344598,33791,10,0,-3,2
577,corner.diag,33791,33792,0,0,3,2
589,corner.off,33792,101376,10,0,-3,2
601,corner.diag,101376,101377,0,0,3,2
613,corner.off,101377,304131,10,0,-3,2
625,corner.diag,304131,304132,0,0,3,2
637,corner.off,304132,912396,10,0,-3,2
649,corner.diag,912396,912397,0,0,3,2
661,corner.off,912397,737185,10,0,-3,2
673,corner.diag,737185,737186,0,0,3,2
685,corner.off,737186,211552,10,0,-3,2
697,corner.diag,211552,211553,0,0,3,2
709,corner.off,211553,634659,10,0,-3,2
721,corner.diag,634659,634660,0,0,3,2
733,corner.off,634660,903977,10,0,-3,2
745,corner.diag,903977,903978,0,0,3,2
757,corner.off,903978,711928,10,0,-3,2
769,corner.diag,711928,711929,0,0,3,2
781,corner.off,711929,135781,10,0,-3,2
793,corner.diag,135781,135782,0,0,3,2
805,corner.off,135782,407346,10,0,-3,2
817,corner.diag,407346,407347,0,0,3,2
829,corner.off,407347,222038,10,0,-3,2
841,corner.diag,222038,222039,0,0,3,2
853,corner.off,222039,666117,10,0,-3,2
865,corner.diag,666117,666118,0,0,3,2
877,corner.off,666118,998351,10,0,-3,2
889,corner.diag,998351,998352,0,0,3,2
901,corner.off,998352,995050,10,0,-3,2
913,corner.diag,995050,995051,0,0,3,2
925,corner.off,995051,985147,10,0,-3,2
937,corner.diag,985147,985148,0,0,3,2
949,corner.off,985148,955438,10,0,-3,2
961,corner.diag,955438,955439,0,0,3,2
973,corner.off,955439,866311,10,0,-3,2
985,corner.diag,866311,866312,0,0,3,2
997,corner.off,866312,598930,10,0,-3,2
1009,corner.diag,598930,598931,0,0,3,2
1021,corner.off,598931,796790,10,0,-3,2
1033,corner.diag,796790,796791,0,0,3,2
1045,corner.off,796791,390367,10,0,-3,2
1057,corner.diag,390367,390368,0,0,3,2
1069,corner.off,390368,171101,10,0,-3,2
1081,corner.diag,171101,171102,0,0,3,2
1093,corner.off,171102,513306,10,0,-3,2
1105,corner.diag,513306,513307,0,0,3,2
1117,corner.off,513307,539918,10,0,-3,2
1129,corner.diag,539918,539919,0,0,3,2
1141,corner.off,539919,619754,10,0,-3,2
1153,corner.diag,619754,619755,0,0,3,2
1165,corner.off,619755,859262,10,0,-3,2
1177,corner.diag,859262,859263,0,0,3,2
1189,corner.off,859263,577783,10,0,-3,2
1201,corner.diag,577783,577784,0,0,3,2
1213,corner.off,577784,733349,10,0,-3,2
1225,corner.diag,733349,733350,0,0,3,2
1237,corner.off,733350,200044,10,0,-3,2
1249,corner.diag,200044,200045,0,0,3,2
1261,corner.off,200045,600135,10,0,-3,2
1273,corner.diag,600135,600136,0,0,3,2
1285,corner.off,600136,800405,10,0,-3,2
1297,corner.diag,800405,800406,0,0,3,2
1309,corner.off,800406,401212,10,0,-3,2
1321,corner.diag,401212,401213,0,0,3,2
1333,corner.off,401213,203636,10,0,-3,2
1345,corner.diag,203636,203637,0,0,3,2
1357,corner.off,203637,610911,10,0,-3,2
1369,corner.diag,610911,610912,0,0,3,2
1381,corner.off,610912,832733,10,0,-3,2
1393,corner.diag,832733,832734,0,0,3,2
1405,corner.off,832734,498196,10,0,-3,2
1417,corner.diag,498196,498197,0,0,3,2
1429,corner.off,498197,494588,10,0,-3,2
1441,corner.diag,494588,494589,0,0,3,2
1453,corner.off,494589,483764,10,0,-3,2
1465,corner.diag,483764,483765,0,0,3,2
1477,corner.off,483765,451292,10,0,-3,2
1489,corner.diag,451292,451293,0,0,3,2
1501,corner.off,451293,353876,10,0,-3,2
1513,corner.diag,353876,353877,0,0,3,2
1525,corner.off,353877,61628,10,0,-3,2
1537,corner.diag,61628,61629,0,0,3,2
1549,corner.off,61629,184887,10,0,-3,2
1561,corner.diag,184887,184888,0,0,3,2
1573,corner.off,184888,554664,10,0,-3,2
1585,corner.diag,554664,554665,0,0,3,2
1597,corner.off,554665,663992,10,0,-3,2
1609,corner.diag,663992,663993,0,0,3,2
1621,corner.off,663993,991976,10,0,-3,2
1633,corner.diag,991976,991977,0,0,3,2
1645,corner.off,991977,975925,10,0,-3,2
1657,corner.diag,975925,975926,0,0,3,2
1669,corner.off,975926,927772,10,0,-3,2
1681,corner.diag,927772,927773,0,0,3,2
1693,corner.off,927773,783313,10,0,-3,2
1705,corner.diag,783313,783314,0,0,3,2
1717,corner.off,783314,349936,10,0,-3,2
1729,corner.diag,349936,349937,0,0,3,2
1741,corner.off,349937,49808,10,0,-3,2
1753,corner.diag,49808,49809,0,0,3,2
1765,corner.off,49809,149427,10,0,-3,2
1777,corner.diag,149427,149428,0,0,3,2
1789,corner.off,149428,448284,10,0,-3,2
1801,corner.diag,448284,448285,0,0,3,2
1813,corner.off,448285,344852,10,0,-3,2
1825,corner.diag,344852,344853,0,0,3,2
1837,corner.off,344853,34556,10,0,-3,2
1849,corner.diag,34556,34557,0,0,3,2
1861,corner.off,34557,103671,10,0,-3,2
1873,corner.diag,103671,103672,0,0,3,2
1885,corner.off,103672,311016,10,0,-3,2
1897,corner.diag,311016,311017,0,0,3,2
1909,corner.off,311017,933051,10,0,-3,2
1921,corner.diag,933051,933052,0,0,3,2
1933,corner.off,933052,799150,10,0,-3,2
1945,corner.diag,799150,799151,0,0,3,2
1957,corner.off,799151,397447,10,0,-3,2
1969,corner.diag,397447,397448,0,0,3,2
1981,corner.off,397448,192341,10,0,-3,2
1993,corner.diag,192341,192342,0,0,3,2
2005,corner.off,192342,577026,10,0,-3,2
2017,corner.diag,577026,577027,0,0,3,2
2029,corner.off,577027,731078,10,0,-3,2
2041,corner.diag,731078,731079,0,0,3,2
2053,corner.off,731079,193231,10,0,-3,2
2065,corner.diag,193231,193232,0,0,3,2
2077,corner.off,193232,579696,10,0,-3,2
2089,corner.diag,579696,579697,0,0,3,2
2101,corner.off,579697,739088,10,0,-3,2
2113,corner.diag,739088,739089,0,0,3,2
2125,corner.off,739089,217261,10,0,-3,2
2137,corner.diag,217261,217262,0,0,3,2
2149,corner.off,217262,651786,10,0,-3,2
2161,corner.diag,651786,651787,0,0,3,2
2173,corner.off,651787,955358,10,0,-3,2
2185,corner.diag,955358,955359,0,0,3,2
2197,corner.off,955359,866071,10,0,-3,2
2209,corner.diag,866071,866072,0,0,3,2
2221,corner.off,866072,598210,10,0,-3,2
2233,corner.diag,598210,598211,0,0,3,2
2245,corner.off,598211,794630,10,0,-3,2
2257,corner.diag,794630,794631,0,0,3,2
2269,corner.off,794631,383887,10,0,-3,2
2281,corner.diag,383887,383888,0,0,3,2
2293,corner.off,383888,151661,10,0,-3,2
2305,corner.diag,151661,151662,0,0,3,2
2317,corner.off,151662,454986,10,0,-3,2
2329,corner.diag,454986,454987,0,0,3,2
2341,corner.off,454987,364958,10,0,-3,2
2353,corner.diag,364958,364959,0,0,3,2
2365,corner.off,364959,94874,10,0,-3,2
2377,corner.diag,94874,94875,0,0,3,2
2389,corner.off,94875,284625,10,0,-3,2
2401,corner.diag,284625,284626,0,0,3,2
2413,corner.off,284626,853878,10,0,-3,2
2425,corner.diag,853878,853879,0,0,3,2
2437,corner.off,853879,561631,10,0,-3,2
2449,corner.diag,561631,561632,0,0,3,2
